Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
29,Harrison Barnes,PF,31,SAC,82,82,2381,7.1,14.9,.474,3.0,7.9,.387,4.0,7.1,.571,3.2,4.0,.801,1.4,3.7,5.1,2.0,1.1,0.2,1.2,2.0,20.4,,122,119,barneha02
30,Scottie Barnes,SG,22,TOR,60,60,2094,10.3,21.7,.475,2.3,6.8,.341,8.0,14.9,.536,4.5,5.8,.781,3.3,8.1,11.4,8.4,1.7,2.0,3.8,2.7,27.5,,114,116,barnesc01
31,RJ Barrett,SG,23,TOT,58,58,1838,11.7,23.5,.495,2.4,6.7,.360,9.3,16.8,.549,5.6,7.8,.715,1.4,7.0,8.4,5.2,0.8,0.6,3.4,3.5,31.3,,112,119,barrerj01
31,RJ Barrett,SG,23,NYK,26,26,766,10.8,25.5,.423,2.8,8.6,.331,8.0,17.0,.469,6.8,8.2,.831,1.3,6.1,7.3,4.1,0.8,0.6,3.1,3.0,31.2,,110,116,barrerj01
31,RJ Barrett,SG,23,TOR,32,32,1072,12.3,22.2,.553,2.1,5.4,.392,10.1,16.8,.605,4.7,7.5,.629,1.5,7.7,9.2,5.9,0.9,0.6,3.6,3.8,31.4,,114,120,barrerj01
32,Charles Bassey,C,23,SAS,19,0,205,6.7,9.3,.725,0.0,0.2,.000,6.7,9.0,.744,1.2,1.4,.833,5.3,12.3,17.6,4.9,1.9,3.9,3.5,7.2,14.6,,126,109,bassech01
33,Emoni Bates,SF,20,CLE,15,0,133,5.6,18.2,.306,3.7,12.3,.303,1.9,5.9,.313,0.4,1.5,.250,0.4,4.8,5.2,3.7,0.4,0.7,3.0,1.9,15.2,,80,117,batesem01
34,Keita Bates-Diop,SF,28,TOT,53,8,665,5.3,12.2,.434,1.5,5.1,.304,3.8,7.1,.526,2.4,3.1,.762,2.3,5.8,8.1,2.8,1.8,1.6,1.1,2.6,14.5,,116,114,bateske01
34,Keita Bates-Diop,SF,28,PHO,39,8,597,5.2,12.3,.427,1.6,5.2,.313,3.6,7.0,.512,2.1,2.9,.722,2.5,5.8,8.3,2.8,1.8,1.6,1.1,2.7,14.2,,116,114,bateske01
34,Keita Bates-Diop,SF,28,BRK,14,0,68,5.8,11.7,.500,0.7,3.6,.200,5.1,8.0,.636,4.4,4.4,1.000,0.7,5.8,6.6,2.9,2.2,1.5,1.5,1.5,16.8,,123,115,bateske01
35,Nicolas Batum,PF,35,TOT,60,38,1529,3.7,8.2,.453,2.3,6.0,.395,1.4,2.3,.606,0.5,0.7,.714,2.3,5.7,8.0,4.1,1.5,1.2,1.3,3.5,10.3,,126,115,batumni01
35,Nicolas Batum,PF,35,LAC,3,0,54,2.7,7.3,.375,1.8,6.4,.286,0.9,0.9,1.000,0.0,0.0,,0.0,6.4,6.4,4.6,2.7,3.7,0.9,4.6,7.3,,112,110,batumni01
35,Nicolas Batum,PF,35,PHI,57,38,1475,3.8,8.3,.456,2.4,5.9,.399,1.4,2.3,.600,0.5,0.7,.714,2.3,5.7,8.0,4.1,1.5,1.1,1.3,3.5,10.4,,127,115,batumni01
36,Darius Bazley,PF,23,TOT,9,0,152,5.7,9.5,.600,0.6,2.5,.250,5.1,7.0,.727,3.2,3.8,.833,2.5,6.4,8.9,2.2,1.9,2.2,2.5,1.0,15.3,,121,118,bazleda01
36,Darius Bazley,PF,23,PHI,3,0,10,0.0,4.9,.000,0.0,0.0,,0.0,4.9,.000,0.0,0.0,,0.0,4.9,4.9,9.8,0.0,0.0,4.9,0.0,0.0,,51,121,bazleda01
